gbifID,institutionCode,collectionCode,occurrenceID,catalogNumber,recordNumber,recordedBy,fieldNumber,eventDate,year,month,day,eventRemarks,countryCode,stateProvince,locality,decimalLongitude,decimalLatitude,elevation,habitat,eventRemarks.1,references,basisOfRecord,taxonID,scientificNameID,family,genus,species,scientificName,taxonomicStatus,acceptedScientificName,datasetKey,mediaType,occurrenceRemarks,dynamicProperties,fieldNotes,reproductiveCondition,hasGeospatialIssues,hasCoordinate,coordinateUncertaintyInMeters,issue,image_url,acceptedScientificName_corr,Country_name,Binned_latitude
3762889673,ASU,Plants,1c50e497-1bc7-48a7-a29f-cef8b265a7f3,,,,Tree#_69,2010-08-17T00:00:00,2010.0,8.0,17.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226730,PRESERVED_SPECIMEN,326848,,Lauraceae,Beilschmiedia,Beilschmiedia costaricensis,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,ACCEPTED,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_69; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21150_lg.jpg,Beilschmiedia pendula (Sw.) Hemsl.,Ecuador,"(-3, 7]"
3762889668,ASU,Plants,30635371-56b9-4267-9a47-61f8063e2f83,,,,Tree#_324,2010-08-12T00:00:00,2010.0,8.0,12.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226613,PRESERVED_SPECIMEN,326848,,Lauraceae,Beilschmiedia,Beilschmiedia costaricensis,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,ACCEPTED,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_324; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21033_lg.jpg,Beilschmiedia pendula (Sw.) Hemsl.,Ecuador,"(-3, 7]"
3762881669,ASU,Plants,a5f79a2b-7646-46e4-aad5-f946d0efa183,,,,,2010-11-14T00:00:00,2010.0,11.0,14.0,,EC,,El Cedral,-78.56722,-0.12407,2385.0,"Tropical Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226843,PRESERVED_SPECIMEN,366653,,Melastomataceae,Axinaea,Axinaea affinis,Axinaea affinis (Naudin) Cogn.,ACCEPTED,Axinaea affinis (Naudin) Cogn.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21263.jpg,Axinaea macrophylla (Naudin) Triana,Ecuador,"(-3, 7]"
3762881630,ASU,Plants,e12a8b38-57b0-413d-b5a6-323d7e9833ae,,,,,2010-05-14T00:00:00,2010.0,5.0,14.0,,PE,,Inkaterra 1; INK1,-69.04777,-12.53273,180.0,"Tropical Moist Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29225989,PRESERVED_SPECIMEN,344837,,Metteniusaceae,Calatola,Calatola costaricensis,Calatola venezuelana Pittier,SYNONYM,Calatola costaricensis Standl.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP19/CSP19304_lg.jpg,Calatola costaricensis Standl.,Peru,"(-13, -3]"
3762878670,ASU,Plants,95f7e200-b88c-40df-8ee6-c703dd12d688,,,,,2010-11-15T00:00:00,2010.0,11.0,15.0,,EC,,El Cedral,-78.56722,-0.12407,2385.0,"Tropical Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226881,PRESERVED_SPECIMEN,366653,,Melastomataceae,Axinaea,Axinaea affinis,Axinaea affinis (Naudin) Cogn.,ACCEPTED,Axinaea affinis (Naudin) Cogn.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21301.jpg,Axinaea macrophylla (Naudin) Triana,Ecuador,"(-3, 7]"
3762877672,ASU,Plants,d01be0dd-212f-474e-acc1-9119c4c311f0,,,,,2010-11-15T00:00:00,2010.0,11.0,15.0,,EC,,El Cedral,-78.56722,-0.12407,2385.0,"Tropical Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226878,PRESERVED_SPECIMEN,366653,,Melastomataceae,Axinaea,Axinaea affinis,Axinaea affinis (Naudin) Cogn.,ACCEPTED,Axinaea affinis (Naudin) Cogn.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21298.jpg,Axinaea macrophylla (Naudin) Triana,Ecuador,"(-3, 7]"
3762876426,ASU,Plants,b0f9e8c5-5f6d-45d5-b5ae-6c0841967d7c,,,,,2009-02-16T00:00:00,2009.0,2.0,16.0,,CR,,"Selvatura, Monteverde",-84.79936,10.34155,1607.0,"Tropical Lower Montane Wet Forest, soil order: Andisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29221777,PRESERVED_SPECIMEN,326848,,Lauraceae,Beilschmiedia,Beilschmiedia costaricensis,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,ACCEPTED,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP11/CSP11333_lg.jpg,Beilschmiedia pendula (Sw.) Hemsl.,Costa Rica,"(7, 17]"
3762876415,ASU,Plants,fc4a184b-07c8-493d-b525-2bd82f940ac0,,,,,2009-02-11T00:00:00,2009.0,2.0,11.0,,CR,,"San Luis Ecolodge, Monteverde",-84.79843,10.28292,1100.0,"Tropical Premontane Wet Forest, soil order: Andisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29221579,PRESERVED_SPECIMEN,219252,,Sapindaceae,Billia,Billia rosea,Billia columbiana Planch. & Linden ex Triana & Planch.,SYNONYM,Billia rosea (Planch. & Linden) C.Ulloa & P.Jørg.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,redone_b/c_balance_error; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP11/CSP11135_lg.jpg,Billia rosea (Planch. & Linden) C.Ulloa & P.Jørg.,Costa Rica,"(7, 17]"
3762874671,ASU,Plants,dc21237c-7ed3-4894-a7f3-1d3901ed6699,,,,,2010-11-14T00:00:00,2010.0,11.0,14.0,,EC,,El Cedral,-78.56722,-0.12407,2385.0,"Tropical Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226837,PRESERVED_SPECIMEN,366653,,Melastomataceae,Axinaea,Axinaea affinis,Axinaea affinis (Naudin) Cogn.,ACCEPTED,Axinaea affinis (Naudin) Cogn.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21257_lg.jpg,Axinaea macrophylla (Naudin) Triana,Ecuador,"(-3, 7]"
3762873660,ASU,Plants,b7ff68b1-badc-4362-b030-8321acb79490,,,,Tree#_53,2010-08-17T00:00:00,2010.0,8.0,17.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226723,PRESERVED_SPECIMEN,326848,,Lauraceae,Beilschmiedia,Beilschmiedia costaricensis,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,ACCEPTED,Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_53; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21143_lg.jpg,Beilschmiedia pendula (Sw.) Hemsl.,Ecuador,"(-3, 7]"
3762872418,ASU,Plants,5b6ab4b9-7d96-469a-ad26-1b8a3596dc3e,,,,,2009-02-13T00:00:00,2009.0,2.0,13.0,,CR,,"Santa Elena, Monteverde",-84.8184,10.31668,1415.0,"Tropical Lower Montane Wet Forest, soil order: Andisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29221690,PRESERVED_SPECIMEN,316998,,Lauraceae,Beilschmiedia,Beilschmiedia brenesii,Beilschmiedia brenesii C.K.Allen,ACCEPTED,Beilschmiedia brenesii C.K.Allen,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP11/CSP11246_lg.jpg,Beilschmiedia pendula (Sw.) Hemsl.,Costa Rica,"(7, 17]"
3753603465,"Instituto Federal de Educação, Ciência e Tecnologia",EAFM,BRA:IFAM:EAFM:14259,14259,856,"Lins, J; Chaves, AC",,2012-12-20T00:00:00,2012.0,12.0,20.0,,BR,Amazonas,"Comunidade São José da Enseada, Quintal da Dona Vavá",-58.555556,-2.76405,,,,,PRESERVED_SPECIMEN,,,Solanaceae,Cestrum,Cestrum nocturnum,Cestrum nocturnum L.,ACCEPTED,Cestrum nocturnum L.,7aeb3ded-7443-4512-95f7-2ec7ab0f308c,,"Arbusto, super cheiroso.; Terra-firme, solo antrópico em sítio arqueológico (Terra Preta de Índio) ; HA",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,,Cestrum megalophyllum Dunal,Brazil,"(-3, 7]"
3751332330,JBRJ,RB,urn:catalog:JBRJ:RB:1458979,RB01458979,9443,"J.E.Q. Faria; A. De Pieri, I.A. Freitas, L.A. Miranda",,2019-07-11T00:00:00,2019.0,7.0,11.0,,BR,Goiás,"Região da Chapada dos Veadeiros, fazenda Hamadríades, ca. de 13 km sentido São Jorge para Colinas do Sul.",-47.894167,-14.229444,,,,,PRESERVED_SPECIMEN,,,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris var. lingua (Cambess.) Eichler,ACCEPTED,Casearia sylvestris var. lingua (Cambess.) Eichler,4300f8d5-1ae5-49e5-a101-63894b005868,,"Arbusto, caule corticoso, fissurado e acinzentado, botões florais e flores verdes.",,Cerrado sensu stricto ralo.,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,,Casearia sylvestris Sw.,Brazil,"(-23, -13]"
3751331330,JBRJ,RB,urn:catalog:JBRJ:RB:1458980,RB01458980,9418,"J.E.Q. Faria; A. De Pieri, I.A. Freitas, L.A. Miranda",,2019-07-10T00:00:00,2019.0,7.0,10.0,,BR,Goiás,"Região da Chapada dos Veadeiros, fazenda Náiades, ca. de 15 km sentido São Jorge para Colinas do Sul.",-47.918333,-14.219444,,,,,PRESERVED_SPECIMEN,,,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris var. sylvestris,SYNONYM,Casearia sylvestris Sw.,4300f8d5-1ae5-49e5-a101-63894b005868,,"Arbusto, caule acinzentado corticoso profundamente fissurado, botões florais verdes.",,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,,Casearia sylvestris Sw.,Brazil,"(-23, -13]"
3751324331,JBRJ,RB,urn:catalog:JBRJ:RB:1458981,RB01458981,9463,"J.E.Q. Faria; A. De Pieri, I.A. Freitas, L.A. Miranda",,2019-07-11T00:00:00,2019.0,7.0,11.0,,BR,Goiás,"Região da Chapada dos Veadeiros, fazenda Hamadríades, ca. de 13 km sentido São Jorge para Colinas do Sul.",-47.894167,-14.229444,,,,,PRESERVED_SPECIMEN,,,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris var. sylvestris,SYNONYM,Casearia sylvestris Sw.,4300f8d5-1ae5-49e5-a101-63894b005868,,"Arbusto, botões florais cremes.",,Cerrado sensu stricto ralo.,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,,Casearia sylvestris Sw.,Brazil,"(-23, -13]"
3745843315,UEFS,HUEFS,BRA:UEFS:HUEFS:259961,259961,1168,"Gomes, M.",,2019-02-06T00:00:00,2019.0,2.0,6.0,,BR,Rio de Janeiro,"Parque Estadual de Costa do Sol, Núcleo Massambaba; Restinga de Jacarepiá.",-42.452222,-22.925556,3.0,,,,PRESERVED_SPECIMEN,,,Salicaceae,Casearia,Casearia oblongifolia,Casearia oblongifolia Cambess.,ACCEPTED,Casearia oblongifolia Cambess.,2e684fd6-09e2-4661-910a-0a188b610c04,,"Floresta de Restinga, segundo cordão arenoso, área em regeneração",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION,,Casearia sylvestris Sw.,Brazil,"(-23, -13]"
3745742550,UFRB,HURB,BRA:UFRB:HURB:27389,27389,2513,"Martins, M.L.L.; Costa, G.",,2022-03-04T00:00:00,2022.0,3.0,4.0,,BR,Bahia,Mata da Cazuzinha; Borda da mata entre a EBDA e Praça Multiuso,-39.11,-12.666397,230.0,,,,PRESERVED_SPECIMEN,,,Solanaceae,Cestrum,Cestrum nocturnum,Cestrum nocturnum L.,ACCEPTED,Cestrum nocturnum L.,a8e78a51-12b2-4ca1-8945-6d909022ef6a,,"Arbusto, ca. 2m,botões florais verde-esbranquiçados. Frag. 1.",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,,Cestrum megalophyllum Dunal,Brazil,"(-13, -3]"
3711560303,UB,UB,BRA:UB:UB:110873,110873,2583,"Belém, RP; Pinheiro, RS",,1966-07-15T00:00:00,1966.0,7.0,15.0,,BR,Bahia,,-39.024722,-16.278056,,,,,PRESERVED_SPECIMEN,,,Salicaceae,Casearia,Casearia oblongifolia,Casearia oblongifolia Cambess.,ACCEPTED,Casearia oblongifolia Cambess.,d82d5a18-0428-4e52-be16-f509153e8126,,"Estames amarelos.; 0,8m. Flor branca; Mata costeira.",,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Casearia sylvestris Sw.,Brazil,"(-23, -13]"
3711520092,UB,UB,BRA:UB:UB:16186,16186,28,"Lopes, SAG",,1983-11-15T00:00:00,1983.0,11.0,15.0,,BR,Distrito Federal,Super Quadra Sul 107 Bl - D - Asa Sul.,-47.929722,-15.779722,,,,,PRESERVED_SPECIMEN,,,Solanaceae,Cestrum,Cestrum nocturnum,Cestrum nocturnum L.,ACCEPTED,Cestrum nocturnum L.,d82d5a18-0428-4e52-be16-f509153e8126,,"Flores pequenas de cor branca.; Arbusto 2,5m; .",,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Cestrum megalophyllum Dunal,Brazil,"(-23, -13]"
3711422101,UB,UB,BRA:UB:UB:16206,16206,s.n.,"Bartolomeu, J",,1954-03-28T00:00:00,1954.0,3.0,28.0,,BR,São Paulo,Terreno de D. Herondina.,-46.62,-24.08,,,,,PRESERVED_SPECIMEN,,,Solanaceae,Cestrum,Cestrum nocturnum,Cestrum nocturnum L.,ACCEPTED,Cestrum nocturnum L.,d82d5a18-0428-4e52-be16-f509153e8126,,Planta arbustiva cultivada.; .,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Cestrum megalophyllum Dunal,Brazil,"(-33, -23]"
3711415104,UB,UB,BRA:UB:UB:16225,16225,2195,"Sucre, D; Braga, PIS",,1968-01-26T00:00:00,1968.0,1.0,26.0,,BR,Rio de Janeiro,"Vale do Bom Sucesso, captação d´água, 650msm.",-43.178611,-22.505,,,,,PRESERVED_SPECIMEN,,,Solanaceae,Cestrum,Cestrum nocturnum,Cestrum nocturnum L.,ACCEPTED,Cestrum nocturnum L.,d82d5a18-0428-4e52-be16-f509153e8126,,"Crescendo perto do córrego.; Arbusto, umbrófilo 2m. Flor amarelo-esverdeada; Mata secundária.",,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Cestrum megalophyllum Dunal,Brazil,"(-23, -13]"
3503203319,IRVC,,e7d0050a-772f-4674-8ae7-0533e7edd7f2,,901,Ron Vanderhoff,,2021-09-12T00:00:00,2021.0,9.0,12.0,,US,California,"Huntington Central Park, 150m W Gothard St., Huntington Beach",-118.0017,33.7046,1.0,Unmaintained weedy/native mix portions of naturalized parkland.,,https://cch2.org/portal/collections/individual/index.php?occid=4656746,PRESERVED_SPECIMEN,64761,,Solanaceae,Cestrum,Cestrum nocturnum,Cestrum nocturnum L.,ACCEPTED,Cestrum nocturnum L.,7fc39a52-0d5c-40e1-a6a7-c64068a1fa76,StillImage,"Present here for,at least ca five years. 1-2 other plants appear to have been removed. Possible herbicide damage on this plant.",,,Flowering,False,True,5.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,https://cch2.org/imglib/cch2/IRVC/202109/EF318EA2-509D-4D98-883C-789E0D_1631539391_lg.jpeg,Cestrum megalophyllum Dunal,United States of America,"(27, 37]"
