gbifID,institutionCode,collectionCode,occurrenceID,catalogNumber,recordNumber,recordedBy,fieldNumber,eventDate,year,month,day,eventRemarks,countryCode,stateProvince,locality,decimalLongitude,decimalLatitude,elevation,habitat,eventRemarks,references,basisOfRecord,taxonID,scientificNameID,family,genus,species,scientificName,taxonomicStatus,acceptedScientificName,datasetKey,mediaType,occurrenceRemarks,dynamicProperties,fieldNotes,reproductiveCondition,hasGeospatialIssues,hasCoordinate,coordinateUncertaintyInMeters,issue,image_url,acceptedScientificName_corr,Country_name,Binned_latitude
3762891555,ASU,Plants,ca01c8df-b8c5-4473-8b13-fe28e6912012,,,,,2010-01-07T00:00:00,2010.0,1.0,7.0,,CR,,Osa; A,-83.33737,8.40114,50.0,"Tropical Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29224377,PRESERVED_SPECIMEN,347056,,Lauraceae,Ocotea,Ocotea insularis,Ocotea ira Mez & Pittier ex Mez,SYNONYM,Ocotea insularis (Meisn.) Mez,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP16/CSP16147_lg.jpg,Ocotea insularis (Meisn.) Mez,Costa Rica,"(0, 10]"
3762890416,ASU,Plants,1553b379-cb2c-47ad-a220-f62875a8a9c4,,,,,2009-02-09T00:00:00,2009.0,2.0,9.0,,CR,,Monteverde Reserve,-84.29027,10.2994,1572.0,"Tropical Lower Montane Wet Forest, soil order: Andisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29221449,PRESERVED_SPECIMEN,367740,,Lauraceae,Ocotea,Ocotea tonduzii,Ocotea tonduzii Standl.,ACCEPTED,Ocotea tonduzii Standl.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP11/CSP11005_lg.jpg,Ocotea insularis (Meisn.) Mez,Costa Rica,"(10, 20]"
3762888677,ASU,Plants,6cfb8f13-d0ec-4fde-b242-75294b3bb9dd,,,,,2010-11-17T00:00:00,2010.0,11.0,17.0,,EC,,El Cedral,-78.56722,-0.12407,2385.0,"Tropical Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226948,PRESERVED_SPECIMEN,367711,,Lauraceae,Ocotea,Ocotea architectorum,Ocotea architectorum Mez,ACCEPTED,Ocotea architectorum Mez,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21368_lg.jpg,Ocotea floribunda (Sw.) Mez,Ecuador,"(-10, 0]"
3762888381,ASU,Plants,6269a79c-79a6-4749-ba37-a36b86b28109,,,,,2009-01-30T00:00:00,2009.0,1.0,30.0,,PA,,Parque Natural San Lorenzo,-79.97443,9.28108,135.0,"Tropical Moist Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29220719,PRESERVED_SPECIMEN,347056,,Lauraceae,Ocotea,Ocotea insularis,Ocotea ira Mez & Pittier ex Mez,SYNONYM,Ocotea insularis (Meisn.) Mez,e05fd4c2-4d77-4c50-880e-1b22096af300,,"Ft. Sherman, Panama; Tree",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,Ocotea insularis (Meisn.) Mez,Panama,"(0, 10]"
3762887567,ASU,Plants,b16bc93c-eb19-490f-a139-eb8d47fc080e,,,,,2010-01-11T00:00:00,2010.0,1.0,11.0,,CR,,Osa; A,-83.33737,8.40114,50.0,"Tropical Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29224587,PRESERVED_SPECIMEN,347056,,Lauraceae,Ocotea,Ocotea insularis,Ocotea ira Mez & Pittier ex Mez,SYNONYM,Ocotea insularis (Meisn.) Mez,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP16/CSP16357_lg.jpg,Ocotea insularis (Meisn.) Mez,Costa Rica,"(0, 10]"
3762881666,ASU,Plants,6de62a11-90e0-4a01-95ed-bd1982314eda,,,,Tree#_235,2010-08-19T00:00:00,2010.0,8.0,19.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226799,PRESERVED_SPECIMEN,367715,,Lauraceae,Ocotea,Ocotea caniflora,Ocotea caniflora Mez,ACCEPTED,Ocotea caniflora Mez,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_235; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21219_lg.jpg,Ocotea floribunda (Sw.) Mez,Ecuador,"(-10, 0]"
3762879667,ASU,Plants,fab78715-4a74-447d-83d3-7c00dfdcb76a,,,,Tree#_511,2010-08-14T00:00:00,2010.0,8.0,14.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226658,PRESERVED_SPECIMEN,192456,,Rubiaceae,Psychotria,Psychotria gentryi,Psychotria gentryi (Dwyer) C.M.Taylor,ACCEPTED,Psychotria gentryi (Dwyer) C.M.Taylor,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_511; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21078_lg.jpg,Palicourea palenquensis C.M. Taylor,Ecuador,"(-10, 0]"
3762872542,ASU,Plants,bfdc82ce-0579-4860-a284-53395b3fcf3a,,,,,2010-01-07T00:00:00,2010.0,1.0,7.0,,CR,,Osa; A,-83.33737,8.40114,50.0,"Tropical Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29224345,PRESERVED_SPECIMEN,347056,,Lauraceae,Ocotea,Ocotea insularis,Ocotea ira Mez & Pittier ex Mez,SYNONYM,Ocotea insularis (Meisn.) Mez,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP16/CSP16115_lg.jpg,Ocotea insularis (Meisn.) Mez,Costa Rica,"(0, 10]"
3711602493,UB,UB,BRA:UB:UB:194586,194586,136,"Fernandes, MH; Pereira, JB",,2007-07-12T00:00:00,2007.0,7.0,12.0,,BR,Distrito Federal,Fazenda Santa Cecília. Núcleo Rural Rajadinha II.,-47.637778,-15.765278,958.0,,,,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Rapanea ferruginea (Ruiz & Pav.) Mez,SYNONYM,Myrsine coriacea subsp. coriacea,d82d5a18-0428-4e52-be16-f509153e8126,,Árvore 10m. Fruto imaturo verde; Mata de galeria inundável. Relevo plano. Solo hidromórfico,,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Brazil,"(-20, -10]"
3711586022,UB,UB,BRA:UB:UB:186262,186262,1435,"Franco, GADC; Pastore, JA; Filho, AC; Aguiar, OT",,1997-07-29T00:00:00,1997.0,7.0,29.0,,BR,São Paulo,Nascente do Rio Tiete.,-45.583333,-23.583333,,,,,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Rapanea ferruginea (Ruiz & Pav.) Mez,SYNONYM,Myrsine coriacea subsp. coriacea,d82d5a18-0428-4e52-be16-f509153e8126,,Frutos imaturos verdes.; Árvore 10m de altura.; Vegetação secundária.,,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Brazil,"(-30, -20]"
